,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
231,3.0,1,73,1.0,300,0,11803.666666666666,0
232,3.0,1,29,2.0,960,0,13956.5,0
233,3.0,1,36,1.0,990,0,13233.5,0
234,4.0,1,66,1.0,360,0,13561.166666666666,0
235,7.5,1,50,1.0,2760,0,32992.666666666664,0
236,4.0,1,28,1.0,0,0,12374.5,0
237,6.5,1,45,3.0,5220,0,39392.833333333336,0
238,4.0,2,32,2.0,1026,0,27224.0,0
239,6.0,1,63,1.0,720,0,18610.666666666668,0
240,3.5,1,58,3.0,8400,0,55982.666666666664,0
241,3.5,2,62,2.0,1206,0,23048.833333333332,0
242,6.5,1,57,2.0,12060,30,46325.333333333336,0
243,4.0,2,63,1.0,6900,0,29448.166666666668,0
244,2.0,1,70,1.0,330,0,6294.5,0
245,1.0,1,62,1.0,270,0,2907.5,0
246,11.0,1,44,1.0,420,0,12741.0,0
247,8.5,1,43,1.0,444,0,22849.333333333332,0
248,5.0,1,51,1.0,3900,240,30837.166666666668,0
250,4.0,1,57,1.0,0,0,12580.833333333334,0
251,4.5,2,71,1.0,2220,0,43141.5,0
253,5.0,1,48,1.0,0,0,7997.166666666667,0
254,7.0,1,47,1.0,498,0,11538.5,0
255,2.0,2,63,1.0,312,0,7755.0,0
256,6.0,1,54,1.0,0,0,19914.333333333332,0
257,5.0,1,50,1.0,1596,0,14185.0,0
258,1.0,1,51,2.0,930,0,7789.5,0
259,5.0,1,34,3.0,0,0,10338.833333333334,0
260,10.5,1,44,1.0,0,0,17101.833333333332,0
261,3.0,1,49,1.0,0,0,9010.666666666666,0
262,3.5,1,32,2.0,0,0,10356.833333333334,0
263,6.0,1,58,1.0,0,0,5348.5,0
264,8.5,1,37,1.0,240,0,9872.666666666666,0
265,2.5,1,68,1.0,0,0,4969.0,0
266,8.0,1,44,1.0,1314,0,18726.833333333332,0
267,7.0,1,39,1.0,0,0,13063.0,0
268,11.5,1,51,1.0,0,0,15551.333333333334,0
269,7.0,1,40,1.0,2880,0,10182.0,0
270,7.0,1,76,2.0,5346,2172,28955.333333333332,0
271,6.0,1,70,1.0,2700,2172,26282.333333333332,0
273,9.0,1,55,2.0,4200,6744,23937.0,0
275,2.0,2,53,2.0,1020,0,10427.333333333334,0
276,4.0,1,89,1.0,648,0,11383.0,0
277,5.0,2,61,3.0,3000,240,32026.0,0
278,6.0,1,48,2.0,2730,2526,24780.666666666668,0
279,2.5,2,54,3.0,846,660,13332.5,0
281,3.0,1,40,2.0,3312,2172,12842.333333333334,0
282,6.0,1,41,3.0,3336,2886,26489.333333333332,0
283,1.0,1,52,2.0,636,660,13316.333333333334,0
284,3.0,1,51,2.0,4200,2172,23341.0,0
285,2.0,1,67,5.0,2400,2886,58850.666666666664,0
286,6.0,1,48,2.0,6600,2172,20569.333333333332,0
287,1.0,1,52,3.0,1800,2172,14400.0,0
288,7.0,1,72,1.0,5400,2886,14141.333333333334,0
289,5.0,1,71,2.0,13200,2586,47046.666666666664,0
290,4.5,1,57,1.0,4884,2172,26579.333333333332,0
291,4.0,1,30,2.0,5400,2172,41850.0,0
294,5.0,1,36,1.0,6600,2172,15195.333333333334,0
297,9.5,1,48,2.0,0,0,13893.666666666666,0
298,6.0,1,35,1.0,834,0,9092.5,0
299,2.0,1,73,1.0,2100,0,9581.5,0
300,3.5,1,41,1.0,1740,1086,11061.666666666666,0
301,8.0,1,54,2.0,5280,0,48704.5,0
302,8.0,1,60,2.0,1800,0,13711.0,0
303,4.0,1,27,1.0,1620,0,13546.0,0
304,7.5,1,50,1.0,4278,0,25829.666666666668,0
305,3.5,2,59,1.0,732,0,14928.833333333334,0
306,3.5,2,57,1.0,3150,0,8806.833333333334,0
307,4.5,1,37,2.0,2340,0,33230.166666666664,0
308,2.0,1,21,3.0,600,2172,19715.0,0
309,5.0,1,32,2.0,846,0,16396.0,0
311,3.0,1,29,4.0,2076,0,19741.666666666668,0
312,8.0,1,46,2.0,1128,0,11205.0,0
313,3.0,1,48,2.0,2400,0,6602.333333333333,0
314,7.5,1,52,2.0,330,0,14636.333333333334,0
315,3.0,1,63,2.0,450,0,10884.666666666666,0
316,8.5,1,54,1.0,4590,0,28980.666666666668,0
317,2.0,1,69,1.0,0,0,9418.833333333334,0
318,6.5,1,32,2.0,150,0,7625.666666666667,0
319,6.5,1,52,2.0,6600,0,21264.166666666668,0
320,5.0,1,53,1.0,5400,0,24997.5,0
321,5.5,1,39,2.0,4500,0,14279.0,0
322,1.0,2,75,1.0,390,0,5882.0,0
323,7.0,1,51,2.0,1680,0,10735.0,0
324,4.0,1,40,2.0,1680,0,16664.0,0
325,5.0,1,40,2.0,900,0,13025.0,0
326,1.5,1,65,1.0,0,0,2310.0,0
327,7.5,1,64,1.0,0,0,18508.333333333332,0
328,6.0,1,43,1.0,0,0,10968.5,0
329,5.0,1,38,1.0,1200,156,11553.333333333334,1
330,8.0,1,54,2.0,0,2172,28023.333333333332,1
331,5.5,1,47,2.0,6300,4086,48923.0,1
332,6.5,1,55,1.0,1752,3576,33761.333333333336,1
333,2.0,2,50,1.0,0,0,6263.5,1
334,3.0,1,70,1.0,1380,2172,22907.666666666668,1
335,7.0,1,58,2.0,6738,2484,27010.833333333332,1
336,7.0,1,40,2.0,1200,1986,18267.666666666668,1
337,1.0,1,37,2.0,0,0,9067.0,1
338,1.0,2,80,4.0,13800,2172,41596.666666666664,1
341,5.0,1,47,3.0,5100,2346,21966.0,1
343,6.5,1,73,1.0,3600,1086,16384.5,0
344,5.0,1,50,2.0,4800,2586,23902.0,0
345,5.0,1,45,1.0,360,0,11972.5,0
346,5.5,1,58,1.0,8250,120,21759.0,0
349,2.0,2,62,2.0,1200,720,9127.833333333334,0
350,7.0,2,42,3.0,5100,1440,36175.833333333336,0
352,2.0,2,42,2.0,8280,3402,23086.0,0
353,5.5,1,43,2.0,780,0,10369.5,0
354,2.5,1,65,1.0,8538,0,11722.666666666666,0
355,15.0,1,71,1.0,4536,0,30318.333333333332,0
356,7.0,1,41,2.0,2484,0,21811.0,0
357,2.0,1,45,2.0,7620,2502,18584.0,0
358,3.0,1,38,2.0,2826,0,20595.0,0
359,5.0,1,49,2.0,9624,0,24503.0,0
360,3.0,1,59,2.0,0,0,37629.5,0
361,5.0,1,48,2.0,0,0,22452.666666666668,0
362,7.0,1,35,1.0,312,0,9720.166666666666,0
363,7.0,1,57,2.0,1128,2172,17336.666666666668,0
364,5.0,1,64,1.0,1800,0,14407.333333333334,0
365,2.0,2,40,2.0,972,0,9573.833333333334,0
366,4.0,1,52,2.0,0,0,28654.666666666668,0
367,6.0,1,42,2.0,912,0,13583.0,0
368,8.0,1,46,2.0,4836,0,24417.666666666668,0
369,4.0,1,58,2.0,4680,2172,25823.333333333332,0
370,5.5,1,41,2.0,2106,600,23038.333333333332,0
